"x","y","xend","yend","clust","line"
98.875,1.85566196056402,98,1.85566196056402,1,0
98,1.85566196056402,98,0,1,0
98.875,1.85566196056402,99.75,1.85566196056402,1,0
99.75,1.85566196056402,99.75,1.59723957081532,1,0
99.75,1.59723957081532,99,1.59723957081532,1,0
99,1.59723957081532,99,0,1,0
99.75,1.59723957081532,100.5,1.59723957081532,1,0
100.5,1.59723957081532,100.5,0.839344082389225,1,0
100.5,0.839344082389225,100,0.839344082389225,1,0
100,0.839344082389225,100,0,1,0
100.5,0.839344082389225,101,0.839344082389225,1,0
101,0.839344082389225,101,0,1,0
101.78125,2.75701834057736,104.6875,2.75701834057736,1,0
104.6875,2.75701834057736,104.6875,2.04208689257419,1,0
104.6875,2.04208689257419,102.75,2.04208689257419,1,0
102.75,2.04208689257419,102.75,1.360911072142,1,0
102.75,1.360911072142,102,1.360911072142,1,0
102,1.360911072142,102,0,1,0
102.75,1.360911072142,103.5,1.360911072142,1,0
103.5,1.360911072142,103.5,0.990867870554962,1,0
103.5,0.990867870554962,103,0.990867870554962,1,0
103,0.990867870554962,103,0,1,0
103.5,0.990867870554962,104,0.990867870554962,1,0
104,0.990867870554962,104,0,1,0
104.6875,2.04208689257419,106.625,2.04208689257419,1,0
106.625,2.04208689257419,106.625,1.72084727805704,1,0
106.625,1.72084727805704,105.5,1.72084727805704,1,0
105.5,1.72084727805704,105.5,1.16195341685636,1,0
105.5,1.16195341685636,105,1.16195341685636,1,0
105,1.16195341685636,105,0,1,0
105.5,1.16195341685636,106,1.16195341685636,1,0
106,1.16195341685636,106,0,1,0
106.625,1.72084727805704,107.75,1.72084727805704,1,0
107.75,1.72084727805704,107.75,1.22500056865568,1,0
107.75,1.22500056865568,107,1.22500056865568,1,0
107,1.22500056865568,107,0,1,0
107.75,1.22500056865568,108.5,1.22500056865568,1,0
108.5,1.22500056865568,108.5,0.657361559979895,1,0
108.5,0.657361559979895,108,0.657361559979895,1,0
108,0.657361559979895,108,0,1,0
108.5,0.657361559979895,109,0.657361559979895,1,0
109,0.657361559979895,109,0,1,0
113.51171875,4.34163143368357,129.7890625,4.34163143368357,1,0
129.7890625,4.34163143368357,129.7890625,3.80616741424142,1,0
129.7890625,3.80616741424142,121.65625,3.80616741424142,1,0
121.65625,3.80616741424142,121.65625,2.91615133096627,1,0
121.65625,2.91615133096627,115.8125,2.91615133096627,1,0
115.8125,2.91615133096627,115.8125,2.54574031268207,1,0
115.8125,2.54574031268207,112.3125,2.54574031268207,1,0
112.3125,2.54574031268207,112.3125,1.8507031400164,1,0
112.3125,1.8507031400164,110.5,1.8507031400164,1,0
110.5,1.8507031400164,110.5,1.30134172188241,1,0
110.5,1.30134172188241,110,1.30134172188241,1,0
110,1.30134172188241,110,0,1,0
110.5,1.30134172188241,111,1.30134172188241,1,0
111,1.30134172188241,111,0,1,0
112.3125,1.8507031400164,114.125,1.8507031400164,1,0
114.125,1.8507031400164,114.125,1.76817190003642,1,0
114.125,1.76817190003642,112.75,1.76817190003642,1,0
112.75,1.76817190003642,112.75,1.0060133086996,1,0
112.75,1.0060133086996,112,1.0060133086996,1,0
112,1.0060133086996,112,0,1,0
112.75,1.0060133086996,113.5,1.0060133086996,1,0
113.5,1.0060133086996,113.5,0.666469762126386,1,0
113.5,0.666469762126386,113,0.666469762126386,1,0
113,0.666469762126386,113,0,1,0
113.5,0.666469762126386,114,0.666469762126386,1,0
114,0.666469762126386,114,0,1,0
114.125,1.76817190003642,115.5,1.76817190003642,1,0
115.5,1.76817190003642,115.5,1.0657232200436,1,0
115.5,1.0657232200436,115,1.0657232200436,1,0
115,1.0657232200436,115,0,1,0
115.5,1.0657232200436,116,1.0657232200436,1,0
116,1.0657232200436,116,0,1,0
115.8125,2.54574031268207,119.3125,2.54574031268207,1,0
119.3125,2.54574031268207,119.3125,2.16596034882726,1,0
119.3125,2.16596034882726,117.75,2.16596034882726,1,0
117.75,2.16596034882726,117.75,1.51540869994635,1,0
